order_id,order_date,order_year,order_month,order_day,order_hour,order_minute,order_second,is_weekend,order_status,return_reason,customer_id,customer_name,gender,age,customer_segment,country,city,customer_loyalty_score,total_orders_by_customer,account_creation_date,product_id,product_name,category,sub_category,brand,product_rating_avg,product_reviews_count,stock_quantity,unit_price_usd,quantity,discount_percent,discount_amount_usd,total_price_usd,cost_usd,profit_usd,tax_usd,currency,payment_method,payment_status,installment_plan,shipping_method,shipping_cost_usd,delivery_days,shipping_country,warehouse_location,delivery_status,rating,review_sentiment,customer_feedback,coupon_used,coupon_code,campaign_source,device_type,traffic_source,session_duration_minutes,pages_visited,abandoned_cart_before,fraud_risk_score,profit_margin_percent,order_priority,support_ticket_created
ORD-8XVSU,2025-02-01 15:38:03.627472,2025,2,1,15,38,3,Yes,Completed,,CUS-3W60W,Andrew Carlson,Male,43,Premium,Italy,Florence,81.9,23,2022-03-23,PRD-97AC,Yoga Mat Non-Slip,Health,Supplements,Huawei,4.2,4916,986,118.57,5,5,29.64,563.21,348.8,214.41,46.53,USD,Credit Card,Paid,No,Standard,9.29,1,Italy,UK,In Transit,5,Positive,Average quality,No,,Email,Tablet,Search,17.0,16,Yes,65.3,38.07,Low,No
ORD-07KIY,2025-09-30 16:10:54.925102,2025,9,30,16,10,54,No,Completed,,CUS-SDNEA,Brandon Mahoney,Male,66,Premium,Netherlands,Amsterdam,86.4,47,2022-06-11,PRD-5ONL,Swimming Goggles,Sports,Sports Wear,Xiaomi,4.5,308,309,207.87,4,15,124.72,706.76,359.2,347.56,39.83,USD,PayPal,Paid,Yes,Economy,5.47,1,Netherlands,EU-Central,Delivered,1,Negative,Fast delivery,No,,Email,Tablet,Direct,14.0,8,Yes,32.9,49.18,Low,No
ORD-H42HV,2025-07-12 06:34:56.000547,2025,7,12,6,34,56,Yes,Completed,,CUS-V1SBR,Jason Caldwell,Male,31,Regular,Netherlands,The Hague,99.7,14,2023-09-02,PRD-MFXV,Denim Jeans Slim Fit,Clothing,Accessories,Nike,3.7,4068,69,125.14,1,5,6.26,118.88,60.33,58.55,11.42,USD,Debit Card,Paid,No,Next Day,9.26,12,Netherlands,Asia-Pacific,In Transit,1,Negative,,Yes,CPN-E51,Google Ads,Desktop,Search,4.8,8,Yes,18.0,49.25,High,Yes
ORD-JPD3K,2024-11-05 17:39:39.084416,2024,11,5,17,39,39,No,Completed,,CUS-NMEW6,Teresa Clark,Female,36,Regular,Belgium,Ghent,50.0,10,2024-02-09,PRD-20Y4,Cotton T-Shirt Pack,Clothing,Shoes,Fitbit,3.2,3738,619,65.63,3,5,9.84,187.05,129.60000000000002,57.45,15.58,USD,Credit Card,Paid,Yes,Standard,16.41,13,Belgium,USA-West,Delivered,4,Positive,Not satisfied,Yes,CPN-3P2,Google Ads,Desktop,Referral,14.2,1,No,62.5,30.71,Low,Yes
ORD-V1P0Z,2025-10-19 09:09:52.960189,2025,10,19,9,9,52,Yes,Cancelled,,CUS-WIQQS,Holly Holland,Female,72,Regular,Netherlands,Amsterdam,44.7,35,2023-05-26,PRD-X9QD,Gym Gloves,Sports,Outdoor,Lenovo,3.1,3148,483,18.08,3,0,0.0,54.24,26.130000000000003,28.11,4.59,USD,Debit Card,Failed,No,Economy,9.54,6,Netherlands,EU-Central,Delivered,3,Neutral,Fast delivery,Yes,CPN-74Q,Email,Desktop,Direct,32.0,2,Yes,9.9,51.83,Medium,No
ORD-NGV0D,2025-04-28 17:59:34.589945,2025,4,28,17,59,34,No,Processing,,CUS-UHCEF,Kathleen Duran,Female,23,VIP,Spain,Seville,68.8,41,2023-02-16,PRD-FBW5,USB-C Fast Charger 65W,Electronics,Accessories,Xiaomi,4.1,954,818,86.44,2,5,8.64,164.24,85.74,78.5,8.23,USD,Debit Card,Paid,Yes,Express,2.84,9,Spain,UK,In Transit,2,Negative,Average quality,No,,Organic,Tablet,Direct,1.4,15,No,9.1,47.8,Low,No
ORD-F03HK,2024-09-21 14:20:06.596406,2024,9,21,14,20,6,Yes,Returned,Defective Product,CUS-CSLXW,Daniel Goodman,Male,52,Regular,Canada,Vancouver,18.4,17,2022-07-28,PRD-3FMZ,Foam Roller,Health,Fitness,Anker,4.1,4089,852,28.35,5,15,21.26,120.49,75.7,44.79,8.28,USD,PayPal,Paid,No,Standard,2.54,14,Canada,Asia-Pacific,Delivered,5,Positive,Highly recommended,Yes,CPN-93P,Instagram,Mobile,Referral,51.9,15,No,31.4,37.17,Medium,No
ORD-TL6LW,2025-10-12 03:14:07.614789,2025,10,12,3,14,7,Yes,Completed,,CUS-TMLH7,Tammy Williams,Female,45,Regular,Belgium,Brussels,67.3,7,2024-11-09,PRD-6032,USB Hub 7-Port,Electronics,Laptops,Philips,4.2,548,589,398.93,1,20,79.79,319.14,201.2,117.94,31.68,USD,Debit Card,Paid,Yes,Express,1.08,4,Belgium,EU-Central,Pending,4,Positive,Excellent!,No,,Instagram,Desktop,Direct,24.3,15,Yes,78.7,36.96,Low,No
ORD-LRY0N,2024-09-28 19:09:17.154520,2024,9,28,19,9,17,Yes,Completed,,CUS-DJCQS,Allison Hudson,Female,28,Regular,Germany,Munich,25.8,19,2022-08-29,PRD-FWYO,Swimming Goggles,Sports,Outdoor,Canon,3.8,875,322,30.2,2,5,3.02,57.38,34.68,22.7,5.08,USD,Credit Card,Paid,No,Next Day,15.14,2,Germany,EU-Central,In Transit,3,Neutral,Excellent!,Yes,CPN-J2J,Affiliate,Desktop,Referral,49.2,2,Yes,16.1,39.56,Medium,No
ORD-HZ25L,2025-08-18 04:55:47.981231,2025,8,18,4,55,47,No,Completed,,CUS-M93TC,Christy Perez,Female,52,Premium,United States,Houston,38.0,31,2024-08-18,PRD-MSUD,Treadmill Folding,Sports,Accessories,Baseus,3.2,2964,611,219.26,4,15,131.56,745.48,455.76,289.72,67.69,USD,Apple Pay,Paid,Yes,Express,23.22,12,United States,EU-Central,Delivered,2,Negative,Not satisfied,No,,Email,Tablet,Search,3.7,11,Yes,45.4,38.86,High,No
ORD-6SZPB,2024-07-21 00:51:05.954588,2024,7,21,0,51,5,Yes,Returned,Defective Product,CUS-RAHTY,Charles Mccullough,Male,20,Regular,United Kingdom,Manchester,27.1,31,2024-01-16,PRD-0I5R,Yoga Mat Non-Slip,Health,Medical Devices,GoPro,3.4,1516,513,119.44,1,5,5.97,113.47,61.39,52.08,9.76,USD,Debit Card,Paid,No,Standard,24.68,4,United Kingdom,UK,Delivered,3,Neutral,Average quality,Yes,CPN-1VO,Email,Tablet,Social,41.8,7,No,69.3,45.9,Low,Yes
ORD-EXV26,2024-11-17 23:43:40.977573,2024,11,17,23,43,40,Yes,Completed,,CUS-TVQTG,David Adams,Male,59,Regular,Australia,Sydney,81.3,26,2023-09-28,PRD-VCZU,Water Bottle Insulated,Sports,Gym Equipment,Lenovo,4.1,1253,840,172.56,5,5,43.14,819.66,589.3,230.36,74.5,USD,Bank Transfer,Paid,No,Express,16.42,12,Australia,UK,Delivered,5,Positive,Great product!,No,,Organic,Desktop,Search,13.8,11,No,85.7,28.1,High,Yes
ORD-O4UWK,2024-05-20 14:26:14.608042,2024,5,20,14,26,14,No,Completed,,CUS-3KM1V,Mark Clark,Male,42,Premium,Germany,Hamburg,40.2,8,2021-02-12,PRD-UEAM,Air Fryer 5L,Home,Furniture,Philips,4.7,2679,105,144.61,1,0,0.0,144.61,86.72,57.89,7.72,USD,PayPal,Paid,No,Economy,16.29,9,Germany,UK,Delivered,4,Positive,Highly recommended,No,,Organic,Desktop,Direct,38.9,2,No,37.0,40.03,High,No
ORD-K2EY4,2024-09-05 20:10:19.061373,2024,9,5,20,10,19,No,Completed,,CUS-55ICF,Deborah Garcia,Female,73,Premium,Australia,Adelaide,86.7,39,2021-02-12,PRD-TBT0,Digital Blood Pressure Monitor,Health,Supplements,Anker,3.9,1056,917,23.08,4,5,4.62,87.7,58.0,29.7,4.5,USD,PayPal,Paid,No,Next Day,6.53,13,Australia,Asia-Pacific,Failed,1,Negative,,Yes,CPN-7TB,Affiliate,Mobile,Direct,42.9,17,No,30.3,33.87,Low,Yes
ORD-UQTGA,2025-12-25 20:46:40.894259,2025,12,25,20,46,40,No,Processing,,CUS-DSG06,Angela Boyd,Female,27,Regular,Netherlands,Utrecht,92.4,12,2022-09-29,PRD-JC87,Digital Thermometer,Health,Personal Care,Anker,3.2,2286,626,192.54,1,20,38.51,154.03,101.29,52.74,13.15,USD,Credit Card,Paid,Yes,Economy,16.61,6,Netherlands,USA-East,Delivered,5,Positive,,No,,Instagram,Desktop,Referral,35.0,20,No,15.5,34.24,High,No
ORD-KJ6N9,2025-06-10 10:50:33.378056,2025,6,10,10,50,33,No,Completed,,CUS-RL9XI,Christopher Bonilla,Male,24,Regular,Germany,Berlin,66.8,10,2025-04-12,PRD-4RVN,Wireless Bluetooth Earbuds,Electronics,Accessories,Logitech,4.6,4361,401,124.27,1,25,31.07,93.2,83.51,9.69,8.28,USD,Debit Card,Paid,No,Express,13.56,4,Germany,USA-West,Pending,3,Neutral,Excellent!,No,,Facebook,Mobile,Social,22.3,15,Yes,39.5,10.4,Low,Yes
ORD-6SZR0,2025-09-07 21:27:14.184348,2025,9,7,21,27,14,Yes,Completed,,CUS-YHE3S,Marie Jones,Female,66,Regular,Spain,Madrid,46.7,25,2021-04-14,PRD-ZWTL,Coffee Maker Automatic,Home,Appliances,Lenovo,3.0,2355,501,92.51,5,0,0.0,462.55,254.45,208.1,30.82,USD,Bank Transfer,Paid,Yes,Express,22.65,13,Spain,Asia-Pacific,Failed,1,Negative,Great product!,No,,Affiliate,Tablet,Search,25.3,19,Yes,24.4,44.99,High,Yes
ORD-LM56B,2025-06-25 22:34:38.870525,2025,6,25,22,34,38,No,Completed,,CUS-28BWT,Sherry Brown,Female,69,Regular,Germany,Hamburg,45.4,19,2024-01-24,PRD-A0TZ,Hooded Sweatshirt,Clothing,Womens Wear,Nike,4.0,4887,492,56.15,1,15,8.42,47.73,29.38,18.35,4.04,USD,Credit Card,Paid,No,Next Day,1.85,11,Germany,Asia-Pacific,Delivered,1,Negative,Average quality,No,,Facebook,Tablet,Email,53.1,6,Yes,70.3,38.45,Low,No
ORD-U7V96,2024-11-05 07:25:09.313087,2024,11,5,7,25,9,No,Completed,,CUS-7PF67,Rebecca Murphy,Female,47,Premium,Australia,Adelaide,57.2,41,2024-09-30,PRD-NE8M,Treadmill Folding,Sports,Accessories,Sony,3.5,771,377,26.59,5,10,13.29,119.66,72.2,47.46,8.15,USD,Debit Card,Paid,Yes,Standard,6.57,3,Australia,EU-Central,Pending,3,Neutral,Excellent!,No,,Facebook,Desktop,Direct,48.3,15,No,70.9,39.66,Medium,No
ORD-Q77DA,2025-03-04 00:37:02.879861,2025,3,4,0,37,2,No,Completed,,CUS-N3BZ3,Joshua Mcbride,Male,30,Premium,Belgium,Liege,70.8,33,2022-03-15,PRD-FPJR,Air Fryer 5L,Home,Bedding,Baseus,3.9,764,346,285.02,5,20,285.02,1140.08,691.4499999999999,448.63,87.83,USD,Debit Card,Paid,No,Standard,22.91,7,Belgium,Asia-Pacific,Delivered,3,Neutral,Excellent!,No,,Google Ads,Mobile,Direct,47.3,19,No,34.2,39.35,Low,No
ORD-M0F44,2025-04-29 11:49:07.912826,2025,4,29,11,49,7,No,Completed,,CUS-58P8R,Jeffrey Jones,Male,56,Regular,Italy,Florence,78.5,12,2025-03-27,PRD-HB7W,Vitamin C Tablets,Health,Medical Devices,Apple,3.4,325,126,123.68,4,5,24.74,469.98,217.92,252.06,38.94,USD,Debit Card,Paid,No,Economy,9.88,3,Italy,UK,Failed,3,Neutral,Excellent!,Yes,CPN-QKV,Affiliate,Tablet,Direct,47.5,9,No,18.3,53.63,High,Yes
ORD-2HZVI,2025-01-24 07:41:42.273383,2025,1,24,7,41,42,No,Completed,,CUS-R5AQR,Mitchell Oliver,Male,20,Premium,France,Nice,57.6,23,2023-09-09,PRD-Z3HY,Swimming Goggles,Sports,Gym Equipment,Huawei,4.7,4608,920,150.81,1,5,7.54,143.27,87.41,55.86,10.54,USD,PayPal,Paid,Yes,Next Day,14.11,8,France,USA-West,Delivered,2,Negative,Good value for money,No,,Organic,Desktop,Referral,23.6,9,Yes,24.0,38.99,High,No
ORD-R80HJ,2024-03-12 01:02:55.920086,2024,3,12,1,2,55,No,Completed,,CUS-9BEAS,Sonia Martinez,Female,67,Regular,Spain,Madrid,22.2,42,2023-12-12,PRD-ULWM,Hooded Sweatshirt,Clothing,Shoes,Adidas,3.1,1913,291,93.02,1,15,13.95,79.07,62.26,16.81,5.08,USD,Debit Card,Paid,No,Standard,11.67,6,Spain,USA-East,Delivered,4,Positive,Fast delivery,No,,Google Ads,Mobile,Referral,50.8,18,Yes,13.5,21.26,Low,No
ORD-3GGUF,2024-08-22 11:31:37.035463,2024,8,22,11,31,37,No,Completed,,CUS-TAL3S,Christopher Roy,Male,71,VIP,Germany,Cologne,9.1,48,2022-06-27,PRD-JHDT,Power Bank 20000mAh,Electronics,Audio,Samsung,3.0,1286,83,284.72,4,5,56.94,1081.94,577.16,504.78,83.1,USD,Bank Transfer,Paid,No,Standard,8.19,11,Germany,USA-East,Delivered,4,Positive,,Yes,CPN-U7K,Google Ads,Tablet,Search,49.9,16,No,83.5,46.66,Low,No
ORD-R7H8Q,2024-12-25 03:16:10.119235,2024,12,25,3,16,10,No,Cancelled,,CUS-ZV7FP,Nina Smith,Female,44,VIP,Germany,Hamburg,64.2,23,2022-03-31,PRD-HYKI,Yoga Mat Non-Slip,Health,Medical Devices,Nikon,5.0,3835,63,184.48,4,0,0.0,737.92,400.28,337.64,68.64,USD,PayPal,Failed,No,Standard,9.23,5,Germany,UK,Delivered,4,Positive,Excellent!,Yes,CPN-GKY,Instagram,Tablet,Search,13.2,17,No,24.1,45.76,Low,Yes
ORD-8LICR,2024-06-03 19:17:34.270253,2024,6,3,19,17,34,No,Pending,,CUS-RKH1Y,James Fernandez,Male,37,Premium,Australia,Brisbane,68.0,39,2021-06-05,PRD-8YFW,Electric Toothbrush,Home,Kitchen,Sony,4.7,1922,141,282.99,3,0,0.0,848.97,476.94,372.03,71.16,USD,Debit Card,Failed,No,Economy,17.44,5,Australia,EU-Central,In Transit,4,Positive,Average quality,Yes,CPN-6KE,Organic,Desktop,Search,4.3,7,No,47.2,43.82,High,No
ORD-HNYSZ,2024-07-25 16:13:44.555305,2024,7,25,16,13,44,No,Completed,,CUS-D45Y3,Scott Thompson,Male,66,VIP,Spain,Seville,64.2,40,2022-08-18,PRD-M3Q7,Tennis Balls Pack,Sports,Accessories,Canon,5.0,1313,624,197.39,2,5,19.74,375.04,242.24,132.8,31.95,USD,Bank Transfer,Paid,No,Express,6.7,9,Spain,USA-East,Delivered,3,Neutral,Good value for money,No,,Affiliate,Mobile,Search,23.1,6,Yes,65.4,35.41,Medium,No
ORD-HINDE,2026-01-30 02:23:23.529602,2026,1,30,2,23,23,No,Completed,,CUS-253AE,Matthew Callahan,Male,31,VIP,Canada,Montreal,19.5,10,2024-01-04,PRD-7UOU,Casual Sneakers,Clothing,Accessories,Baseus,3.1,4038,806,29.56,4,0,0.0,118.24,79.96,38.28,6.08,USD,Credit Card,Paid,Yes,Express,7.17,6,Canada,UK,Delivered,3,Neutral,Highly recommended,No,,Affiliate,Desktop,Search,17.7,16,No,41.4,32.37,High,No
ORD-GOI03,2025-06-30 18:34:07.306671,2025,6,30,18,34,7,No,Returned,Changed Mind,CUS-GZVVV,Jacqueline Gonzales,Female,61,Regular,United Kingdom,London,28.8,1,2022-06-04,PRD-Y8Y5,USB Hub 7-Port,Electronics,Smartphones,Nikon,3.6,1028,292,177.74,1,15,26.66,151.08,79.03,72.05,11.17,USD,Credit Card,Paid,No,Economy,3.76,9,United Kingdom,UK,Delivered,3,Neutral,,Yes,CPN-YGR,Email,Tablet,Email,15.0,15,Yes,37.1,47.69,Medium,Yes
ORD-PZLF3,2025-06-10 07:11:05.957088,2025,6,10,7,11,5,No,Completed,,CUS-P99H1,Darrell Cochran,Male,72,Premium,Australia,Melbourne,99.1,1,2021-02-10,PRD-MNEH,LED Strip Lights 5m,Home,Furniture,Lenovo,3.6,4151,76,219.99,4,0,0.0,879.96,563.08,316.88,46.96,USD,PayPal,Paid,No,Standard,17.4,9,Australia,Asia-Pacific,Delivered,1,Negative,Excellent!,No,,Facebook,Tablet,Search,46.4,3,Yes,50.7,36.01,Medium,Yes
ORD-IPN22,2024-11-01 07:45:46.550361,2024,11,1,7,45,46,No,Completed,,CUS-MX9AC,Kristin Nielsen,Female,50,Regular,Germany,Berlin,55.2,28,2024-05-29,PRD-33Y2,Wireless Bluetooth Earbuds,Electronics,Laptops,Logitech,4.2,3031,442,122.78,3,10,36.83,331.51,178.64999999999998,152.86,18.43,USD,Credit Card,Paid,No,Economy,15.83,10,Germany,USA-East,Delivered,5,Positive,,No,,Facebook,Tablet,Search,12.9,9,No,42.6,46.11,Medium,Yes
ORD-ISUMU,2025-02-14 06:28:59.910133,2025,2,14,6,28,59,No,Cancelled,,CUS-YWXGO,Daniel Jones,Male,47,Regular,France,Toulouse,66.9,37,2023-10-28,PRD-QO47,Gaming Mechanical Keyboard RGB,Electronics,Audio,JBL,4.7,556,788,213.74,3,0,0.0,641.22,280.04999999999995,361.17,38.82,USD,Debit Card,Failed,No,Express,1.61,2,France,UK,Delivered,1,Negative,,Yes,CPN-K3G,Facebook,Tablet,Social,12.4,9,No,70.4,56.33,Low,Yes
ORD-UNX3A,2025-01-31 03:38:32.128268,2025,1,31,3,38,32,No,Completed,,CUS-O9WI9,Sean Kennedy,Male,54,Regular,Spain,Valencia,38.4,1,2024-08-22,PRD-58PD,Yoga Mat Non-Slip,Health,Personal Care,Dell,4.6,509,420,86.38,4,15,51.83,293.69,164.72,128.97,17.87,USD,Debit Card,Paid,No,Express,6.42,10,Spain,Asia-Pacific,Delivered,3,Neutral,Highly recommended,No,,Facebook,Desktop,Search,50.9,6,Yes,52.4,43.91,High,No
ORD-KJ6O0,2025-09-16 03:39:24.300509,2025,9,16,3,39,24,No,Completed,,CUS-2T826,Robert Woods,Male,49,Regular,France,Toulouse,89.9,49,2021-05-03,PRD-2HXR,Vitamin C Tablets,Health,Fitness,Baseus,4.9,4063,577,114.26,3,10,34.28,308.5,228.06,80.44,25.13,USD,Bank Transfer,Paid,Yes,Next Day,9.92,14,France,USA-West,Delivered,4,Positive,Excellent!,Yes,CPN-3UA,Email,Desktop,Email,35.1,10,Yes,14.6,26.07,Low,No
ORD-65A92,2025-09-25 08:02:45.283037,2025,9,25,8,2,45,No,Returned,Not As Described,CUS-G627F,Ruben Gomez,Male,26,Regular,Germany,Berlin,91.9,7,2023-09-03,PRD-CKHC,4K Webcam Pro,Electronics,Tablets,Samsung,4.4,4960,383,155.44,4,10,62.18,559.58,418.56,141.02,45.7,USD,Credit Card,Paid,No,Next Day,9.03,9,Germany,EU-Central,Delivered,2,Negative,Good value for money,Yes,CPN-H5H,Email,Mobile,Referral,15.0,9,No,86.2,25.2,High,No
ORD-YG14K,2024-07-24 02:24:05.035468,2024,7,24,2,24,5,No,Pending,,CUS-34PCN,Erin Harris,Female,58,Regular,Spain,Bilbao,95.7,35,2021-10-01,PRD-W8OB,LED Strip Lights 5m,Home,Appliances,GoPro,4.9,1374,217,283.79,4,10,113.52,1021.64,496.44,525.2,70.23,USD,Apple Pay,Paid,No,Economy,17.78,2,Spain,USA-West,Delivered,5,Positive,,Yes,CPN-0BS,Organic,Tablet,Search,58.9,5,Yes,93.1,51.41,High,Yes
ORD-KY5B7,2024-09-14 07:50:48.017023,2024,9,14,7,50,48,Yes,Completed,,CUS-3YDO1,Edward Morris,Male,28,Regular,Germany,Hamburg,74.3,25,2021-08-18,PRD-MP5I,Screen Protector Tempered Glass,Electronics,Cameras,Logitech,3.6,162,357,305.64,5,0,0.0,1528.2,1033.5,494.7,89.08,USD,Apple Pay,Paid,No,Economy,6.04,12,Germany,Asia-Pacific,Delivered,4,Positive,Great product!,No,,Affiliate,Mobile,Email,45.0,10,No,83.5,32.37,Medium,No
ORD-3J1WZ,2025-03-21 16:19:47.256948,2025,3,21,16,19,47,No,Returned,Better Price Elsewhere,CUS-8798I,Amanda Pratt,Female,71,VIP,Germany,Munich,12.8,3,2022-05-25,PRD-C48G,USB-C Fast Charger 65W,Electronics,Accessories,Anker,4.3,1870,125,70.66,5,15,52.99,300.31,223.9,76.41,23.18,USD,Debit Card,Paid,No,Express,2.6,2,Germany,USA-East,Delivered,2,Negative,Excellent!,Yes,CPN-HD1,Instagram,Desktop,Email,4.0,13,Yes,62.6,25.44,Low,Yes
ORD-TPM5T,2024-07-26 04:26:16.733346,2024,7,26,4,26,16,No,Completed,,CUS-ARNVY,Marie Raymond,Female,32,Regular,France,Paris,99.0,46,2022-03-10,PRD-623S,Yoga Mat Non-Slip,Health,Medical Devices,Adidas,3.5,3804,169,92.46,4,20,73.97,295.87,192.16,103.71,22.75,USD,Credit Card,Paid,No,Standard,2.77,12,France,USA-East,Delivered,2,Negative,Highly recommended,Yes,CPN-F3A,Instagram,Desktop,Social,27.3,10,Yes,50.1,35.05,High,No
ORD-DONDC,2025-01-24 13:43:48.352042,2025,1,24,13,43,48,No,Completed,,CUS-R6CED,Olivia Smith,Female,44,Premium,France,Lyon,13.3,38,2023-09-30,PRD-BL0B,LED Strip Lights 5m,Home,Bedding,Apple,4.7,2286,329,285.93,4,25,285.93,857.79,527.2,330.59,81.28,USD,PayPal,Paid,Yes,Economy,21.73,1,France,USA-East,Delivered,2,Negative,Fast delivery,Yes,CPN-IRD,Facebook,Tablet,Social,7.1,12,No,66.6,38.54,High,No
ORD-2X9CS,2024-08-22 17:18:39.470196,2024,8,22,17,18,39,No,Completed,,CUS-TUBSH,Jessica Price,Female,38,VIP,Netherlands,Eindhoven,43.0,28,2022-11-01,PRD-DBW0,Badminton Racket,Sports,Outdoor,JBL,3.3,3631,328,168.76,4,10,67.5,607.54,273.32,334.22,37.73,USD,Apple Pay,Paid,No,Express,16.85,8,Netherlands,UK,Delivered,1,Negative,,No,,Facebook,Desktop,Social,20.1,18,No,88.6,55.01,Low,No
ORD-L3PQ0,2024-07-24 19:13:59.317190,2024,7,24,19,13,59,No,Completed,,CUS-2PPAQ,Jennifer Oconnor,Female,31,Regular,Italy,Turin,88.0,17,2022-11-18,PRD-44VG,Vitamin C Tablets,Health,Medical Devices,Xiaomi,3.1,3654,959,65.84,2,15,19.75,111.93,65.64,46.29,8.6,USD,Apple Pay,Paid,No,Economy,7.88,4,Italy,EU-Central,Delivered,1,Negative,,Yes,CPN-8V1,Organic,Mobile,Email,27.0,16,Yes,94.3,41.36,Low,No
ORD-YGSLF,2025-06-03 08:11:56.750131,2025,6,3,8,11,56,No,Completed,,CUS-VSGIL,Patricia Bryant,Female,69,Regular,France,Lyon,21.8,20,2021-03-19,PRD-2E3F,Casual Sneakers,Clothing,Mens Wear,Asus,4.1,3819,101,64.66,3,15,29.1,164.88,82.5,82.38,12.37,USD,Bank Transfer,Paid,Yes,Next Day,15.54,3,France,USA-West,Delivered,4,Positive,,Yes,CPN-9QX,Facebook,Mobile,Email,33.9,9,No,90.4,49.96,High,Yes
ORD-885QF,2025-10-30 05:07:31.482849,2025,10,30,5,7,31,No,Completed,,CUS-NULQ7,Christine Hopkins DDS,Female,67,Premium,United Kingdom,Glasgow,17.4,11,2025-09-30,PRD-A5MF,Wireless Mouse 2.4GHz,Electronics,Tablets,HP,4.2,4897,961,14.43,1,5,0.72,13.71,7.65,6.06,0.86,USD,Credit Card,Paid,No,Next Day,1.54,5,United Kingdom,USA-East,In Transit,3,Neutral,,No,,Instagram,Tablet,Referral,15.2,20,Yes,8.6,44.2,Medium,No
ORD-SS2CS,2024-03-11 13:17:17.116119,2024,3,11,13,17,17,No,Pending,,CUS-KSSAA,Andrea Nelson,Female,30,Regular,Germany,Berlin,80.3,36,2021-07-31,PRD-G59M,Desk Lamp LED,Home,Furniture,Xiaomi,3.1,1069,96,146.83,4,10,58.73,528.59,388.48,140.11,49.23,USD,Bank Transfer,Paid,No,Economy,15.04,9,Germany,USA-West,In Transit,4,Positive,Good value for money,Yes,CPN-SR4,Instagram,Desktop,Social,45.6,12,Yes,44.2,26.51,Low,Yes
ORD-T6CGG,2024-06-28 11:06:44.725564,2024,6,28,11,6,44,No,Completed,,CUS-GK7YN,Jean Holmes,Female,39,Regular,Canada,Calgary,71.3,36,2022-06-12,PRD-IPM6,Baseball Cap,Clothing,Mens Wear,Baseus,3.4,2942,910,60.8,2,0,0.0,121.6,78.18,43.42,8.22,USD,Apple Pay,Paid,No,Economy,21.49,5,Canada,Asia-Pacific,Delivered,2,Negative,Great product!,No,,Email,Mobile,Social,31.3,10,No,60.1,35.71,High,No
ORD-BOOHP,2025-08-13 15:53:55.315813,2025,8,13,15,53,55,No,Completed,,CUS-UNZAH,Rebecca Hampton,Female,45,VIP,Germany,Munich,37.9,33,2023-02-23,PRD-PBFL,Running Shoes Air Zoom,Clothing,Accessories,Nike,4.7,2901,904,126.45,3,20,75.87,303.48,250.41,53.07,28.78,USD,Debit Card,Paid,No,Economy,0.23,7,Germany,EU-Central,Delivered,4,Positive,Could be better,No,,Email,Mobile,Direct,30.5,4,No,48.8,17.49,Medium,No
ORD-UZC72,2025-12-19 01:46:09.486091,2025,12,19,1,46,9,No,Completed,,CUS-L3097,William Morton,Male,46,Regular,Canada,Montreal,84.8,10,2022-07-26,PRD-9T9F,Digital Blood Pressure Monitor,Health,Personal Care,Logitech,3.3,1195,576,16.14,1,20,3.23,12.91,8.55,4.36,1.28,USD,Credit Card,Paid,No,Express,3.43,12,Canada,EU-Central,In Transit,4,Positive,Good value for money,No,,Google Ads,Desktop,Social,57.1,12,Yes,73.1,33.77,High,No
ORD-SK5TF,2024-03-24 11:31:17.613771,2024,3,24,11,31,17,Yes,Completed,,CUS-UVUD7,Wendy Mason,Female,38,Premium,Netherlands,Utrecht,12.5,8,2024-01-19,PRD-DYXW,Casual Sneakers,Clothing,Mens Wear,Lenovo,3.1,4661,813,118.17,3,0,0.0,354.51,162.51,192.0,19.47,USD,Debit Card,Paid,Yes,Express,18.06,8,Netherlands,Asia-Pacific,Delivered,2,Negative,Good value for money,No,,Affiliate,Tablet,Social,7.3,14,No,4.5,54.16,High,No
ORD-HVK8G,2025-08-24 19:20:15.129035,2025,8,24,19,20,15,Yes,Returned,Wrong Item,CUS-0X2VI,Bryan Reynolds,Male,58,Regular,United Kingdom,Leeds,57.6,36,2021-12-20,PRD-WERJ,Dumbbells Set Adjustable,Sports,Accessories,Huawei,4.3,2318,133,66.74,2,25,33.37,100.11,72.7,27.41,9.02,USD,Debit Card,Paid,Yes,Economy,23.64,6,United Kingdom,EU-Central,Delivered,3,Neutral,Good value for money,No,,Instagram,Mobile,Direct,18.7,1,No,99.3,27.38,Medium,No
ORD-AL029,2025-01-30 13:45:38.142917,2025,1,30,13,45,38,No,Completed,,CUS-M1ZLR,Wendy Thompson,Female,61,Regular,Netherlands,Amsterdam,12.3,15,2024-07-04,PRD-FLD7,Massage Gun Deep Tissue,Health,Fitness,Canon,4.2,4086,244,64.51,1,15,9.68,54.83,27.48,27.35,4.39,USD,Credit Card,Paid,No,Next Day,16.14,2,Netherlands,USA-West,Delivered,2,Negative,Could be better,No,,Affiliate,Desktop,Referral,29.2,8,Yes,34.8,49.88,Low,Yes
